START_ID,END_ID,TYPE,name
肛门直肠周围脓肿,肛瘘,acompany_with,并发症
老年人甲状腺癌,结节性甲状腺肿,acompany_with,并发症
幼年型类风湿性关节炎,干燥综合征,acompany_with,并发症
原发性小血管炎性肾损害,鼻窦炎,acompany_with,并发症
妊娠合并甲亢,胎盘早剥,acompany_with,并发症
晶状体蛋白过敏性青光眼,青光眼,acompany_with,并发症
眼病,青光眼睫状体炎综合征,acompany_with,并发症
先天性纯红细胞再生障碍性贫血,急性淋巴细胞白血病,acompany_with,并发症
假膜性肠炎,肠梗阻,acompany_with,并发症
心功能障碍,心肌病,acompany_with,并发症
微血管病性溶血性贫血,贫血,acompany_with,并发症
硒及其化合物引起的皮肤病,物理性皮肤病,acompany_with,并发症
产后伤食,肠梗阻,acompany_with,并发症
表皮样囊肿,脑膜炎,acompany_with,并发症
囊虫病,玻璃体混浊,acompany_with,并发症
小肠平滑肌肉瘤,贫血,acompany_with,并发症
吸入性肺炎,肺水肿,acompany_with,并发症
外层渗出性视网膜病变,水肿,acompany_with,并发症
脑瘤,癫痫,acompany_with,并发症
胫骨内髁骨软骨病,膝内翻,acompany_with,并发症
舌下腺囊肿,舌下神经损伤,acompany_with,并发症
急性卵巢、输卵管自身扭转,休克,acompany_with,并发症
早产儿,硬肿症,acompany_with,并发症
急性肠梗阻,腹痛,acompany_with,并发症
小儿良性先天性肌弛缓综合征,进行性脊肌萎缩症,acompany_with,并发症
性病相关性胃肠道感染,菌血症,acompany_with,并发症
高血压眼病,结膜炎,acompany_with,并发症
老年人急性胰腺炎,消化道出血,acompany_with,并发症
阴茎硬结症,阴茎异常勃起,acompany_with,并发症
胰胆管合流异常综合征,颅内出血,acompany_with,并发症
惠普尔病,腹膜炎,acompany_with,并发症
缺血性结肠炎,动脉硬化,acompany_with,并发症
中耳炎,慢性中耳炎,acompany_with,并发症
黄斑裂孔,黄斑裂孔性视网膜脱离,acompany_with,并发症
小儿铜缺乏症综合征,贫血,acompany_with,并发症
面肌瘫痪,坏死性外耳道炎,acompany_with,并发症
肝内胆管结石,胆管癌,acompany_with,并发症
儿童急性良性肌炎,流行性感冒,acompany_with,并发症
盲肠肉芽肿,肠扭转综合征,acompany_with,并发症
回旋状脉络膜视网膜萎缩,眼球震颤,acompany_with,并发症
特发性肺含铁血黄素沉着症,肺动脉高压,acompany_with,并发症
狐惑,口腔溃疡,acompany_with,并发症
先天性心脏病,心力衰竭,acompany_with,并发症
肱骨髁上骨折,骨化性肌炎,acompany_with,并发症
慢性盆腔疼痛,肿胀,acompany_with,并发症
视网膜炎,青光眼,acompany_with,并发症
冠心病,猝死,acompany_with,并发症
甲状腺功能亢进伴发的精神障碍,失眠,acompany_with,并发症
结节性硬化病,肾肿瘤,acompany_with,并发症
老年人风湿性心脏病,充血性心力衰竭,acompany_with,并发症
痰火,眩晕,acompany_with,并发症
眼睑炭疽,便秘,acompany_with,并发症
急性呼吸衰竭,肺水肿,acompany_with,并发症
颅内动脉瘤,蛛网膜下腔出血,acompany_with,并发症
产气杆菌肠炎,代谢性酸中毒,acompany_with,并发症
褥疮,败血症,acompany_with,并发症
小儿埃可及柯萨奇病毒感染,缩窄性心包炎,acompany_with,并发症
肘内翻畸形,肘关节强直,acompany_with,并发症
过度通气综合征,呼吸性碱中毒,acompany_with,并发症
血栓性血小板减少性紫癜,急性肾功能衰竭,acompany_with,并发症
新生儿低镁血症,心律失常,acompany_with,并发症
甲流,胸膜炎,acompany_with,并发症
皮肤松垂,炎症后弹力纤维松解伴皮肤松弛,acompany_with,并发症
乳腺结节-测试,乳房疼痛,acompany_with,并发症
抗胰蛋白酶缺乏症,呼吸衰竭,acompany_with,并发症
异位急性阑尾炎,肠梗阻,acompany_with,并发症
老年人脑心综合征,老年人脑出血,acompany_with,并发症
蛔虫病,急性胆囊炎,acompany_with,并发症
外伤性脾破裂,肋骨骨折,acompany_with,并发症
新生儿衣原体感染,衣原体肺炎,acompany_with,并发症
甲亢合并妊娠,胎儿窘迫,acompany_with,并发症
胃潴留,贫血,acompany_with,并发症
老年人肾病综合征,肾前性肾功能衰竭,acompany_with,并发症
肘关节结核,肿胀,acompany_with,并发症
蛔虫病,胆道出血,acompany_with,并发症
再生障碍性贫血,月经过多,acompany_with,并发症
回乳,急性化脓性乳腺炎,acompany_with,并发症
老年人结节病,心律失常,acompany_with,并发症
小儿癫痫,颅脑损伤,acompany_with,并发症
寄生虫性尿路感染,肺棘球蚴病,acompany_with,并发症
淋巴细胞减少症,水痘肺炎,acompany_with,并发症
副肿瘤性斜视性眼肌阵挛-肌阵挛,神经母细胞瘤,acompany_with,并发症
老年人甲状腺功能亢进症,阿-斯综合征,acompany_with,并发症
恶性高血压视网膜病变,糖尿病性视网膜病变,acompany_with,并发症
第三脑室肿瘤,癫痫,acompany_with,并发症
单纯性疱疹,意识障碍,acompany_with,并发症
股骨髁上骨折,腘动脉损伤,acompany_with,并发症
胃型哮喘,肺脓肿,acompany_with,并发症
咽部异感症,咽喉炎,acompany_with,并发症
脑脊液漏,脑疝,acompany_with,并发症
小儿肾母细胞瘤,高血压,acompany_with,并发症
突发性聋,眩晕,acompany_with,并发症
新生儿脐炎,化脓性门静脉炎,acompany_with,并发症
黏多糖贮积症Ⅳ型,小儿遗传性痉挛性截瘫,acompany_with,并发症
少年儿童葡萄膜炎,弱视,acompany_with,并发症
血管内乳头状血管内皮细胞瘤,关节疼痛,acompany_with,并发症
乳汁吸入性肺炎,心力衰竭,acompany_with,并发症
遗传性血色病,腹痛,acompany_with,并发症
腹主动脉缩窄,心力衰竭,acompany_with,并发症
小儿毛细支气管炎,脱水,acompany_with,并发症
气阴两虚,阴虚发热,acompany_with,并发症
惠普尔病,胸腔积液,acompany_with,并发症
抬头纹,炎症后弹力纤维松解伴皮肤松弛,acompany_with,并发症
股外侧皮神经卡压综合征,股神经干性痛,acompany_with,并发症
妊娠合并红细胞增多症,肾结石,acompany_with,并发症
嗜人T淋巴细胞Ⅰ型所致的葡萄膜炎,视网膜血管炎,acompany_with,并发症
小儿硬皮病,心包炎,acompany_with,并发症
慢性心功能不全,下肢静脉血栓形成,acompany_with,并发症
乳糜胸,肝硬化,acompany_with,并发症
小儿先天性直肠肛门畸形,便秘,acompany_with,并发症
胃泌素瘤,腹泻,acompany_with,并发症
慢性硬脑膜下血肿,硬脑膜下血肿,acompany_with,并发症
烟酸缺乏神经病,闭经,acompany_with,并发症
老年人泌尿系结石,肾绞痛,acompany_with,并发症
直肠内套叠,便秘,acompany_with,并发症
妊娠合并白血病,成人呼吸窘迫综合征,acompany_with,并发症
持续性输卵管妊娠,贫血,acompany_with,并发症
关节扭伤,肱骨外髁颈骨折,acompany_with,并发症
性功能异常伴发的精神障碍,意识障碍,acompany_with,并发症
血色病,糖尿病,acompany_with,并发症
外伤性脑膜炎,肿胀,acompany_with,并发症
肾功能不全,急性肾功能衰竭,acompany_with,并发症
小儿紫斑湿疹综合征,水痘,acompany_with,并发症
局限性骨脓肿,骨关节炎,acompany_with,并发症
黏多糖贮积症Ⅰ型,支气管炎,acompany_with,并发症
弥散性血管内凝血,急性肾功能衰竭,acompany_with,并发症
胁痛,肝炎,acompany_with,并发症
气管及食管异物,气管梗阻,acompany_with,并发症
I型肾小管性酸中毒,纤维性骨炎,acompany_with,并发症
盆腔积液,慢性盆腔炎,acompany_with,并发症
小儿神经皮肤综合征,运动障碍疾病,acompany_with,并发症
眼部猪囊尾蚴病,视网膜脱离,acompany_with,并发症
假单胞菌感染,关节炎,acompany_with,并发症
脚癣,手癣,acompany_with,并发症
类鼻疽杆菌肺炎,败血症,acompany_with,并发症
小儿热带嗜酸性粒细胞增多症,肝大,acompany_with,并发症
副牛痘,荨麻疹,acompany_with,并发症
腕舟状骨骨折,骨坏死,acompany_with,并发症
肠子宫内膜异位,腹痛,acompany_with,并发症
小儿脑积水,腹痛,acompany_with,并发症
烫伤,应激性溃疡,acompany_with,并发症
白发,自闭症,acompany_with,并发症
先天性食管憩室,肺脓肿,acompany_with,并发症
