START_ID,END_ID,TYPE,name
血管性头痛,神经内科,belongs_to,所属科室
妊娠合并急性胆囊炎,产科,belongs_to,所属科室
链球菌感染后的急性肾小球肾炎,肾内科,belongs_to,所属科室
高胰岛素血症,内分泌科,belongs_to,所属科室
老年性阴道炎,妇科,belongs_to,所属科室
Q热,传染科,belongs_to,所属科室
梅克尔憩室,普外科,belongs_to,所属科室
巨幼细胞性贫血,血液科,belongs_to,所属科室
化脓性关节炎,骨外科,belongs_to,所属科室
甲沟炎,普外科,belongs_to,所属科室
胰腺假性囊肿,消化内科,belongs_to,所属科室
往来寒热,中医综合,belongs_to,所属科室
高颅压性脑积水,神经外科,belongs_to,所属科室
肝著,中医综合,belongs_to,所属科室
火激红斑,皮肤科,belongs_to,所属科室
乳酸性酸中毒,急诊科,belongs_to,所属科室
小儿先天性面肌双瘫综合征,儿科综合,belongs_to,所属科室
咽白喉,传染科,belongs_to,所属科室
光感型药疹,皮肤科,belongs_to,所属科室
弥漫性筋膜炎,皮肤科,belongs_to,所属科室
性变态,精神科,belongs_to,所属科室
胸椎骨折,骨外科,belongs_to,所属科室
蓝痣,皮肤科,belongs_to,所属科室
钡中毒,急诊科,belongs_to,所属科室
失用症,神经内科,belongs_to,所属科室
二氧化氮中毒,呼吸内科,belongs_to,所属科室
抗体免疫缺陷病,风湿免疫科,belongs_to,所属科室
中毒性肾病,肾内科,belongs_to,所属科室
镰状细胞病,血液科,belongs_to,所属科室
漆疮,中医综合,belongs_to,所属科室
特发性迟发性免疫球蛋白缺乏症,血液科,belongs_to,所属科室
外耳道肿瘤,耳鼻喉科,belongs_to,所属科室
小儿醛固酮过多症,儿科综合,belongs_to,所属科室
主动脉口狭窄,心胸外科,belongs_to,所属科室
恶性葡萄胎,妇科,belongs_to,所属科室
汽油中毒,急诊科,belongs_to,所属科室
骨肿瘤,肿瘤外科,belongs_to,所属科室
肱骨大结节骨折,骨外科,belongs_to,所属科室
电烧伤,烧伤科,belongs_to,所属科室
过敏性急性小管间质性肾炎,肾内科,belongs_to,所属科室
慢性阿米巴病肠炎,传染科,belongs_to,所属科室
老年大便失禁,消化内科,belongs_to,所属科室
心包囊肿与心包憩室,心内科,belongs_to,所属科室
囊虫病,感染科,belongs_to,所属科室
颧骨颧弓骨折,眼科,belongs_to,所属科室
肘内翻畸形,骨外科,belongs_to,所属科室
慢性化脓性中耳炎,耳鼻喉科,belongs_to,所属科室
小儿亚急性骨髓炎,儿科综合,belongs_to,所属科室
肝纤维化,肝病,belongs_to,所属科室
急性嗜酸性粒细胞性肺炎,血液科,belongs_to,所属科室
肾胚胎瘤,肿瘤外科,belongs_to,所属科室
先天性并指多指畸形,整形美容科,belongs_to,所属科室
非哺乳期乳晕部瘘管,普外科,belongs_to,所属科室
咽鼓管异常开放症,耳鼻喉科,belongs_to,所属科室
乳糜尿,泌尿外科,belongs_to,所属科室
脚气,皮肤科,belongs_to,所属科室
化脓性甲沟炎,皮肤科,belongs_to,所属科室
小儿获得性免疫缺陷综合征,儿科综合,belongs_to,所属科室
男性生殖器畸形,男科,belongs_to,所属科室
皮肤阿米巴病,传染科,belongs_to,所属科室
肺血管炎,心内科,belongs_to,所属科室
胰腺损伤,普外科,belongs_to,所属科室
眼眶血管外皮瘤,眼科,belongs_to,所属科室
腕尺管综合征,神经外科,belongs_to,所属科室
小儿中耳炎,耳鼻喉科,belongs_to,所属科室
巨细胞病毒感染症,小儿外科,belongs_to,所属科室
化脓性腱鞘炎,骨外科,belongs_to,所属科室
艾滋病人的急性阑尾炎,普外科,belongs_to,所属科室
