START_ID,END_ID,TYPE,name
癫痫性精神障碍,鸡心,do_eat,宜吃
尿道与阴茎结核,鸡翅,do_eat,宜吃
牙周炎,鸡蛋清,do_eat,宜吃
乳腺囊肿,芝麻,do_eat,宜吃
女性不孕症,鸡蛋黄,do_eat,宜吃
下肢动脉硬化闭塞症,鸡蛋,do_eat,宜吃
小儿神经性贪食,核桃,do_eat,宜吃
小儿尿路感染,银鱼,do_eat,宜吃
大咯血,莲子,do_eat,宜吃
硼酸中毒,鸡心,do_eat,宜吃
持续性枕后位、枕横位,鹿肉,do_eat,宜吃
敌鼠中毒,栗子（熟）,do_eat,宜吃
盆腔炎性肿块,鸡肉,do_eat,宜吃
后天性三尖瓣关闭不全,栗子（鲜）,do_eat,宜吃
会阴疝,白果（鲜）,do_eat,宜吃
肺孢子丝菌病,芝麻,do_eat,宜吃
骨与关节结核,南瓜子仁,do_eat,宜吃
眼球穿通伤,薇菜,do_eat,宜吃
黄热病,鸭肉,do_eat,宜吃
阴虱病,芝麻,do_eat,宜吃
老年人睡眠障碍,鸡内金,do_eat,宜吃
小儿迪格奥尔格综合征,绿豆,do_eat,宜吃
小儿腓骨肌萎缩症,鸡蛋,do_eat,宜吃
侵袭性婴儿纤维瘤病,鸡蛋,do_eat,宜吃
小儿溶血尿毒综合征,腰果,do_eat,宜吃
小儿睾丸扭转,鸡蛋,do_eat,宜吃
神经性肠梗阻综合症,鸡心,do_eat,宜吃
纤维化综合征,芝麻,do_eat,宜吃
小儿血管瘤,核桃,do_eat,宜吃
大隐静脉曲张,鸭蛋,do_eat,宜吃
闭塞性血栓性脉管炎,白砂糖,do_eat,宜吃
直肠膨出,鸡肉,do_eat,宜吃
膀胱过度活动症,胡萝卜,do_eat,宜吃
外阴软纤维瘤,葵花子仁,do_eat,宜吃
闭塞性动脉硬化,鸡蛋黄,do_eat,宜吃
念珠状红苔藓,鸡蛋,do_eat,宜吃
小儿急性播散性脑脊髓炎,鸡蛋,do_eat,宜吃
结缔组织增生性毛发上皮瘤,腰果,do_eat,宜吃
胫骨内髁骨软骨病,鸡肉,do_eat,宜吃
骨旁骨肉瘤,杏仁,do_eat,宜吃
呃逆,鸡蛋,do_eat,宜吃
动脉导管未闭,南瓜子仁,do_eat,宜吃
睾丸肿瘤,杏仁,do_eat,宜吃
肠道息肉病,核桃,do_eat,宜吃
热烧伤,鸽蛋,do_eat,宜吃
手部伸肌腱损伤,鸭肝,do_eat,宜吃
小儿骨硬化病,南瓜子仁,do_eat,宜吃
老年人骨关节炎,鸡内金,do_eat,宜吃
下肢深静脉血栓形成,南瓜子仁,do_eat,宜吃
扁桃体炎,鸭蛋,do_eat,宜吃
眼外肌外伤,腰果,do_eat,宜吃
小儿阿托品类中毒,鸽蛋,do_eat,宜吃
慢性淋巴细胞性甲状腺炎,鸭肝,do_eat,宜吃
第四脑室肿瘤,鸭肝,do_eat,宜吃
慢性肝炎,芝麻,do_eat,宜吃
柏-查综合征,鸡肉,do_eat,宜吃
慢性舌扁桃体炎,鸭翅,do_eat,宜吃
硬脑膜外和硬脑膜下脓肿,鸡肉,do_eat,宜吃
不稳定血红蛋白病,鸭翅,do_eat,宜吃
会阴疝,莲子,do_eat,宜吃
不孕不育,鸡肝,do_eat,宜吃
多肌腱末端病,杏仁,do_eat,宜吃
铝尘肺,蜂蜜,do_eat,宜吃
特发性室性心动过速,鸭肝,do_eat,宜吃
毒蕈中毒,白果（干）,do_eat,宜吃
颅内生殖细胞瘤,鸡内金,do_eat,宜吃
脊髓炎,鹅肉,do_eat,宜吃
小儿非霍奇金淋巴瘤,南瓜子仁,do_eat,宜吃
胃肠食物不耐受症,蜂蜜,do_eat,宜吃
小儿急性上呼吸道感染,豆浆,do_eat,宜吃
智力低下,花生仁（生）,do_eat,宜吃
妊娠合并尖锐湿疣,芝麻,do_eat,宜吃
急性动脉栓塞,薇菜,do_eat,宜吃
阴虚火旺,鸡蛋,do_eat,宜吃
药物性胃病,莲子,do_eat,宜吃
胰腺多肽瘤,黄豆粉,do_eat,宜吃
膈肌麻痹,鸭肉,do_eat,宜吃
卵巢浆液性肿瘤,葵花子仁,do_eat,宜吃
小儿药物性皮炎,鸽蛋,do_eat,宜吃
胸腺癌,鸡蛋,do_eat,宜吃
蓐劳,鸡肉,do_eat,宜吃
肛周脓肿,鸭肝,do_eat,宜吃
持续性枕横位难产,莲子,do_eat,宜吃
闭锁肺综合征,莲子,do_eat,宜吃
嗜碱性粒细胞增多症,鸭肉,do_eat,宜吃
宫颈复发癌,芝麻,do_eat,宜吃
食管病,鳝鱼,do_eat,宜吃
面神经炎,赤砂糖,do_eat,宜吃
妊娠期急性脂肪肝,鸡蛋,do_eat,宜吃
稻农皮炎,莲子,do_eat,宜吃
原发性肝内硬化综合征,莲子,do_eat,宜吃
急性骨髓性白血病,松子仁,do_eat,宜吃
肉痉,鸡蛋,do_eat,宜吃
丝状疣,苹果,do_eat,宜吃
旋转带肌腱炎,南瓜子仁,do_eat,宜吃
口腔粘膜黑棘皮病,腰果,do_eat,宜吃
食管贲门粘膜撕裂综合征,栗子（熟）,do_eat,宜吃
原发性甲状旁腺功能亢进症,鹿肉,do_eat,宜吃
恙虫病性肺炎,芝麻,do_eat,宜吃
急性颈椎间盘突出症,鸭肝,do_eat,宜吃
牙周病,腰果,do_eat,宜吃
踝部骨折,腰果,do_eat,宜吃
咽炎,鹅肉,do_eat,宜吃
局限性胸膜间皮瘤,腰果,do_eat,宜吃
肠梗阻,鸭肉,do_eat,宜吃
夏伊-德雷格综合征,腰果,do_eat,宜吃
奎宁中毒,鸡心,do_eat,宜吃
骨与关节结核,鸡肉,do_eat,宜吃
口腔念珠菌病,花生,do_eat,宜吃
肥厚型梗阻性心肌病,松子（炒）,do_eat,宜吃
桡骨远端骨折,鸡蛋,do_eat,宜吃
先天性纯红细胞再生障碍性贫血,鸡肉,do_eat,宜吃
成人肥大性幽门狭窄,南瓜子仁,do_eat,宜吃
空洞型肺结核,白扁豆,do_eat,宜吃
食管外压和牵拉,薇菜,do_eat,宜吃
溃疡病大出血,南瓜子仁,do_eat,宜吃
面部播散性粟粒状狼疮,鹌鹑蛋,do_eat,宜吃
青年心肌梗死,鹌鹑蛋,do_eat,宜吃
霉菌性外阴炎,葵花子仁,do_eat,宜吃
包茎,南瓜子仁,do_eat,宜吃
心血不足,菠菜,do_eat,宜吃
肺癌转移,赤小豆,do_eat,宜吃
药物过敏性口炎,莲子,do_eat,宜吃
糖尿病乳酸性酸中毒,鸡肝,do_eat,宜吃
先天性肝纤维化,鸡蛋,do_eat,宜吃
心血不足,白菜,do_eat,宜吃
外阴前庭炎,绿豆,do_eat,宜吃
头部脂溢性皮炎,白菜,do_eat,宜吃
小儿肺炎,鸡蛋清,do_eat,宜吃
上颌窦炎,猪排骨(大排),do_eat,宜吃
过敏性紫癜,鹿肉,do_eat,宜吃
Plummer-Vinson综合征,鹿肉,do_eat,宜吃
先天性少白头,鹅肉,do_eat,宜吃
儿童学习能力障碍,芝麻,do_eat,宜吃
麻风性周围神经病,薇菜,do_eat,宜吃
腘动脉损伤,鸡肉,do_eat,宜吃
外伤性胆管损伤,绿豆,do_eat,宜吃
先天性主动脉瓣窦动脉瘤破裂,鸡蛋,do_eat,宜吃
小儿洋地黄中毒,核桃,do_eat,宜吃
小儿慢性肺炎,南瓜子仁,do_eat,宜吃
分裂情感性精神病,芝麻,do_eat,宜吃
金黄色葡萄球菌肺炎,葵花子仁,do_eat,宜吃
小儿单纯性血尿,鸭血(白鸭),do_eat,宜吃
食管壁内憩室,黑豆,do_eat,宜吃
肾盂癌,鸭肉,do_eat,宜吃
盆腔肿瘤,白果（干）,do_eat,宜吃
妊娠热病,鸭蛋,do_eat,宜吃
细菌性肺炎,栗子（熟）,do_eat,宜吃
小儿偏头痛,南瓜子仁,do_eat,宜吃
蜈蚣蜇伤,鹌鹑蛋,do_eat,宜吃
脑室内出血,葵花子仁,do_eat,宜吃
白血病性咽峡炎,芝麻,do_eat,宜吃
脉络膜黑色素瘤,鸡肝,do_eat,宜吃
小儿肺炎链球菌肺炎,青豆,do_eat,宜吃
单纯性外阴阴道念珠菌病,核桃,do_eat,宜吃
距骨骨折,葵花子仁,do_eat,宜吃
肝性脑病,芝麻,do_eat,宜吃
唇舌水肿及面瘫综合征,鸽肉,do_eat,宜吃
心性猝死综合征,莲子,do_eat,宜吃
急性肠炎,鸡肉,do_eat,宜吃
外阴神经鞘瘤,杏仁,do_eat,宜吃
乳溢症,葵花子仁,do_eat,宜吃
第Ⅰ型脊髓血管畸形,鸡肉,do_eat,宜吃
小儿腹胀,南瓜子仁,do_eat,宜吃
小儿阿托品类中毒,鸡蛋,do_eat,宜吃
肱骨髁上骨折,鸽蛋,do_eat,宜吃
热射病,鸡肉,do_eat,宜吃
川崎病,鸭肝,do_eat,宜吃
肺转移瘤,松子仁,do_eat,宜吃
