START_ID,END_ID,TYPE,name
肾盂肿瘤,骨转移,has_symptom,症状
外伤后颈内动脉闭塞,颈后及肩部皮肤发硬,has_symptom,症状
高血压病伴发的精神障碍,智能障碍,has_symptom,症状
甲状旁腺功能减退性心肌病,心包积液,has_symptom,症状
转移性肝癌,原发灶不明的转移灶,has_symptom,症状
蓐劳,肝阴虚,has_symptom,症状
卵巢未成熟畸胎瘤,腹腔种植,has_symptom,症状
囊性肾病,钝痛,has_symptom,症状
成人硬肿症,腮腺肿大,has_symptom,症状
扭转痉挛,不自主运动,has_symptom,症状
外伤后脑脂肪栓塞,颅内压增高,has_symptom,症状
酒渣鼻,鼻唇沟发红皲裂,has_symptom,症状
飞扬喉,胀痛,has_symptom,症状
妊娠合并心室间隔缺损,震颤,has_symptom,症状
小儿嘌呤核苷酸磷酸化酶缺乏,反复感染,has_symptom,症状
输卵管粘连,性交疼痛,has_symptom,症状
软骨肉瘤,衣玉品,has_symptom,症状
股神经卡压综合征,髂窝部疼痛,has_symptom,症状
点状内层脉络膜病变,眼底改变,has_symptom,症状
亚急性硬化性全脑炎,智能减退,has_symptom,症状
外耳道疖肿,听骨畸形,has_symptom,症状
先天性胸腹裂孔疝,膈肌缺损,has_symptom,症状
黏多糖贮积症,视力障碍,has_symptom,症状
进行性脂肪营养不良,心动过速,has_symptom,症状
色厥色脱,代超,has_symptom,症状
老年人高血压,注意力不集中,has_symptom,症状
肾虚,腰酸背痛,has_symptom,症状
高钾血症,疲乏,has_symptom,症状
急性肠梗阻,腹痛,has_symptom,症状
女性的青春期延迟,脑积水,has_symptom,症状
Machado-Joseph病,睡眠障碍,has_symptom,症状
肝海绵状血管瘤,生长缓慢,has_symptom,症状
小儿肾小管性酸中毒,乏力,has_symptom,症状
肌注硬结感染,恶寒,has_symptom,症状
结节性脆发病,衣玉品,has_symptom,症状
牙科病,牙体损伤,has_symptom,症状
神经性贪食症,抑郁,has_symptom,症状
动脉瘤,低温性昏迷,has_symptom,症状
颊间隙感染,剧痛,has_symptom,症状
细菌性心包炎,脓胸,has_symptom,症状
跟骨骨折,足跟痛,has_symptom,症状
咽喉部外伤,吞咽障碍,has_symptom,症状
毛囊炎,病理性脱发,has_symptom,症状
脑水肿,神志不清,has_symptom,症状
闭塞性动脉硬化,乏力,has_symptom,症状
骨的原发性淋巴瘤,放射性疼痛,has_symptom,症状
心脏病,心动过速,has_symptom,症状
小儿β地中海贫血,食欲不振,has_symptom,症状
肺-胸膜阿米巴病,发热伴咳嗽、咯...,has_symptom,症状
法洛四联症,紫绀,has_symptom,症状
高原脑水肿,呼吸困难,has_symptom,症状
家族性异常β脂蛋白血症,动脉粥样硬化,has_symptom,症状
中心性浆液性脉络膜视网膜病变,视力障碍,has_symptom,症状
眼眶神经纤维瘤,眼球突出,has_symptom,症状
老年人阳性杆菌肺炎,呼吸困难,has_symptom,症状
郎-奥韦综合征,牙龈出血,has_symptom,症状
急性左侧心力衰竭,心率增快,has_symptom,症状
视神经炎,光反射消失,has_symptom,症状
急性脑内血肿,意识障碍,has_symptom,症状
荚膜组织胞浆菌病,肝脾肿大,has_symptom,症状
狐惑,口腔溃疡,has_symptom,症状
青春期发育迟缓,褪黑色素增多,has_symptom,症状
厥证,意识丧失,has_symptom,症状
急性化脓性关节炎,死骨,has_symptom,症状
骨血管肉瘤,肢体障碍,has_symptom,症状
乙脑伴发的精神障碍,昏迷,has_symptom,症状
阴茎头包皮炎,细菌感染,has_symptom,症状
糜烂性胃炎,呕吐,has_symptom,症状
咽鼓管异常开放症,耳闷,has_symptom,症状
新生儿惊厥,惊厥,has_symptom,症状
赖特综合征,尿频,has_symptom,症状
新生儿硬肿症,呼吸困难,has_symptom,症状
先天性冠状动脉瘘,伤口形成一个搏...,has_symptom,症状
胎儿窘迫,肛门括约肌松弛,has_symptom,症状
肝炎双重感染,核心抗体（抗H...,has_symptom,症状
过敏性皮炎,南晓,has_symptom,症状
鼻中隔脓肿,鼻中隔穿孔,has_symptom,症状
小脑脑桥角脑膜瘤,面部麻木,has_symptom,症状
麻疹样红斑,发烧,has_symptom,症状
肩关节周围炎,岳晗,has_symptom,症状
原发性小血管炎性肾损害,血尿,has_symptom,症状
马拉色菌病,肉芽肿,has_symptom,症状
小儿砷中毒,眩晕,has_symptom,症状
阿尔茨海默病性痴呆,面容失认,has_symptom,症状
颈椎半脱位,颈部疼痛,has_symptom,症状
溃疡性肠炎,驻站医,has_symptom,症状
热带性出汗不良,恶心,has_symptom,症状
胆囊胆固醇沉着症,腹部压痛,has_symptom,症状
慢性缩窄性心包炎,端坐呼吸,has_symptom,症状
脉痿,肌肉撞伤,has_symptom,症状
皮肤淋巴细胞浸润症,角栓,has_symptom,症状
线粒体病,智能减退,has_symptom,症状
舌咽神经痛,喉部痉挛,has_symptom,症状
甲状腺肿瘤,颈部淋巴结肿大,has_symptom,症状
小肠损伤,腹肌紧张,has_symptom,症状
高免疫球蛋白E综合征,湿疹,has_symptom,症状
原发性急性闭角型青光眼,眼压升高,has_symptom,症状
肝源性肾损害,腹水,has_symptom,症状
人工流产,子宫下垂,has_symptom,症状
厥阴头痛,四肢发冷,has_symptom,症状
小儿郎格罕细胞性组织细胞增生症,尿崩,has_symptom,症状
阿片类药物中毒,角弓反张,has_symptom,症状
晕动病,唾液分泌增多,has_symptom,症状
中青年脑梗死,偏盲,has_symptom,症状
接触性荨麻疹,腹痛,has_symptom,症状
铜绿假单胞菌感染,结节,has_symptom,症状
毒蕈中毒,肝细胞索支架塌陷,has_symptom,症状
热汗,盗汗,has_symptom,症状
妇科炎症,阴道口局部红肿热痛,has_symptom,症状
血小板无力症,颅内出血,has_symptom,症状
雅司病,体癣,has_symptom,症状
老年人白细胞减少症和粒细胞缺乏症,细菌感染,has_symptom,症状
痒疹,痘疮,has_symptom,症状
运动神经元病,吞咽困难,has_symptom,症状
心室内传导阻滞,胸闷,has_symptom,症状
乳腺结节-测试,乳房胀痛,has_symptom,症状
眼睑带状疱疹,淋巴结肿大,has_symptom,症状
心脏横纹肌瘤,心包积液,has_symptom,症状
麦粒肿,耳前淋巴结肿大,has_symptom,症状
外阴阿米巴病,结节,has_symptom,症状
小儿脑挫裂伤,恶心与呕吐,has_symptom,症状
牙宣,牙龈出血,has_symptom,症状
痛风和高尿酸血症,疲乏,has_symptom,症状
小儿生殖细胞瘤,腹围增大,has_symptom,症状
急性胃扩张,脱水,has_symptom,症状
乳溢症,溢乳,has_symptom,症状
过敏性肉芽肿性血管炎相关巩膜炎,结节,has_symptom,症状
传染性单核细胞增多症,腭部可见小出血点,has_symptom,症状
落叶型天疱疮,黏膜损害,has_symptom,症状
老年人糖尿病性心脏病,低血压,has_symptom,症状
胃泌素瘤,腹泻,has_symptom,症状
非溃疡消化不良,腹部不适,has_symptom,症状
肺放线菌病,低热,has_symptom,症状
颜面部疖痈,休克,has_symptom,症状
头癣,淋巴结肿大,has_symptom,症状
腹膜肿瘤,乏力,has_symptom,症状
肝紫癜病,肝脏肿大,has_symptom,症状
骨淋巴管瘤,剧痛,has_symptom,症状
慢性肾盂肾炎,腰酸,has_symptom,症状
梅毒性葡萄膜炎,葡萄膜炎,has_symptom,症状
过敏性鼻炎,鼻端出火,has_symptom,症状
膈膨出和麻痹,腹痛,has_symptom,症状
鼻窦粘液囊肿,流泪,has_symptom,症状
小儿乳糜泻,消瘦,has_symptom,症状
心脏转移瘤,心包填塞,has_symptom,症状
手部伸肌腱损伤,不能伸展拇指,has_symptom,症状
创伤性溃疡,组织坏死,has_symptom,症状
链球菌感染后的急性肾小球肾炎,少尿,has_symptom,症状
皮克病,人格改变,has_symptom,症状
儿童分离性焦虑障碍,脾气变坏,has_symptom,症状
良性前列腺增生,尿急,has_symptom,症状
膀胱上内疝,尿急,has_symptom,症状
先天性心脏病,心脏“偷停”感,has_symptom,症状
无脉络膜症,视力视野改变,has_symptom,症状
粗制棉子油中毒,恶心,has_symptom,症状
尿道黏膜脱垂,尿道口疼,has_symptom,症状
噎膈,消瘦,has_symptom,症状
枕颈关节损伤,代偿作用,has_symptom,症状
