START_ID,END_ID,TYPE,name
盲肠扭转,腹部CT,need_check,诊断检查
混合型慢性高原病,肺功能检查,need_check,诊断检查
滑脱性肋骨综合征,心电图,need_check,诊断检查
幽门梗阻,纤维胃镜检查,need_check,诊断检查
登革热,血常规,need_check,诊断检查
小肠系膜损伤,腹腔穿刺,need_check,诊断检查
慢性纤维性甲状腺炎,甲状腺、甲状旁腺的超声检查,need_check,诊断检查
肾盂肾炎,膀胱叩诊,need_check,诊断检查
小儿黄水疮,皮肤斑贴实验,need_check,诊断检查
输卵管癌三联症,腹腔镜,need_check,诊断检查
阴茎异常勃起,阴茎动脉血压/臂动脉血压,need_check,诊断检查
匐行性脉络膜炎,血常规,need_check,诊断检查
疫毒痢,粪便显微镜检查,need_check,诊断检查
葡萄球菌中毒性休克综合征,脑脊液细菌培养,need_check,诊断检查
中风后遗症,股四头肌肌力试验,need_check,诊断检查
风湿性舞蹈病,脑电图检查,need_check,诊断检查
大网膜扭转,腹腔穿刺,need_check,诊断检查
小儿获得性免疫缺陷综合征,抗艾滋病(AIDS)抗体,need_check,诊断检查
异物肉芽肿,涂片,need_check,诊断检查
吻合口溃疡,腹部平片,need_check,诊断检查
急性出血性结膜炎,眼科检查,need_check,诊断检查
热秘,直肠指检,need_check,诊断检查
眼眶脑膜-脑膨出,便常规,need_check,诊断检查
老年人糖尿病,葡萄糖胰岛素释放试验,need_check,诊断检查
小儿家族性嗅神经-性发育不全综合征,睾丸活检,need_check,诊断检查
结核病,积液β2-微球蛋白,need_check,诊断检查
显微型多血管炎,血管造影,need_check,诊断检查
热带痉挛性轻截瘫,脑脊液细胞计数,need_check,诊断检查
银屑病,瓦色曼化反应,need_check,诊断检查
小儿病毒性肺炎,体温测量,need_check,诊断检查
小儿病毒感染性口炎,皮肤涂片显微镜检查,need_check,诊断检查
小儿过敏性紫癜,白细胞分类计数,need_check,诊断检查
乳腺结节-测试,乳腺导管造影,need_check,诊断检查
迪厄拉富瓦病,腹腔镜,need_check,诊断检查
妊娠合并皮质醇增多症,血常规,need_check,诊断检查
